providedId	providedName	resolvedId	resolvedName
	?		
	**		
	***		
	*****		
	a		
	b		
	c		
	cl.	WD:Q37517	class
	clade	no:match	clade
	class	WD:Q37517	class
	Class	WD:Q37517	class
	cohort	WD:Q2981883	cohort
	cultivar	WD:Q4886	cultivar
	d		
	division	WD:Q38348	phylum
	Division	WD:Q38348	phylum
	domain	WD:Q146481	domain
	e		
	epifamily	WD:Q10296147	epifamily
	espesye	WD:Q7432	species
	f.	WD:Q279749	form
	fam.	WD:Q35409	family
	familie	WD:Q35409	family
	family	WD:Q35409	family
	Family	WD:Q35409	family
	form	WD:Q279749	form
	Form	WD:Q279749	form
	forma	WD:Q279749	form
	forma specialis	WD:Q3825509	forma specialis
	f.sp.	WD:Q3825509	forma specialis
	g	no:match	g
	gen.	WD:Q34740	genus
	generic hybrid	no:match	g
	genus	WD:Q34740	genus
	Genus	WD:Q34740	genus
	genushybrid	no:match	g
	geslacht	WD:Q34740	genus
	hybrid	no:match	g
	hybrid formula	no:match	g
	informal	no:match	g
	infraclass	WD:Q2007442	infraclass
	Infraclass	WD:Q2007442	infraclass
	infradivision	WD:Q23759835	infradivision
	Infradivision	WD:Q23759835	infradivision
	infrakingdom	WD:Q3150876	infrakingdom
	Infrakingdom	WD:Q3150876	infrakingdom
	infraorde	WD:Q2889003	infraorder
	infraorder	WD:Q2889003	infraorder
	Infraorder	WD:Q2889003	infraorder
	infraphylum	WD:Q2361851	infraphylum
	Infraphylum	WD:Q2361851	infraphylum
	infraspecies	WD:Q21446603	infraspecies
	infraspecificname	WD:Q21446603	infraspecies
	kaharian	WD:Q36732	kingdom
	kingdom	WD:Q36732	kingdom
	Kingdom	WD:Q36732	kingdom
	klase	WD:Q37517	class
	klasse	WD:Q37517	class
	microspecies	WD:Q7432	species
	no rank	no:match	no rank
	no rank - terminal	no:match	no rank - terminal
	nothovariety		
	onderfamilie	WD:Q5481039	infrafamily
	onderklasse	WD:Q2007442	infraclass
	onderorde	WD:Q2889003	infraorder
	ord.	WD:Q36602	order
	orde	WD:Q36602	order
	orden	WD:Q36602	order
	order	WD:Q36602	order
	Order	WD:Q36602	order
	pamilya	WD:Q35409	family
	parvorder	WD:Q6311258	parvorder
	Parvorder	WD:Q6311258	parvorder
	paylum	WD:Q38348	phylum
	phyl.	WD:Q38348	phylum
	phylum	WD:Q38348	phylum
	Phylum	WD:Q38348	phylum
	regn.	WD:Q36732	kingdom
	rijk	WD:Q36732	kingdom
	sari	WD:Q34740	genus
	sect	no:match	sect
	sect.	no:match	sect.
	section	no:match	section
	Section	no:match	Section
	ser.	WD:Q3025161	series
	soort	WD:Q7432	species
	sp.	WD:Q7432	species
	species	WD:Q7432	species
	Species	WD:Q7432	species
	species aggregate		
	species group		
	species hybrid		
	species pro parte		
	species sensu lato		
	species subgroup		
	ß		
	stam		
	subclass	WD:Q5867051	subclass
	Subclass	WD:Q5867051	subclass
	subdiv.	WD:Q1153785	subdivision
	subdivision	WD:Q1153785	subdivision
	Subdivision	WD:Q1153785	subdivision
	subfamily	WD:Q2455704	subfamily
	Subfamily	WD:Q2455704	subfamily
	subgen.	WD:Q3238261	subgenus
	subgenus	WD:Q3238261	subgenus
