id	name	rank	commonNames	path	pathIds	pathNames	externalUrl	thumbnailUrl
WD:Q10296147	epifamily			epifamily				
WD:Q10861375	subsection			subsection				
WD:Q10861426	section			section				
WD:Q10861678	order			order				
WD:Q1153785	subdivision			subdivision				
WD:Q1153785	subphylum			subphylum				
WD:Q13198444	subseries			subseries				
WD:Q146481	domain			domain				
WD:Q14817220	supertribe			supertribe				
WD:Q19858692	superkingdom			superkingdom				
WD:Q2007442	infraclass			infraclass				
WD:Q21061204	subterclass			subterclass				
WD:Q21074316	hyporder			hyporder				
WD:Q2136103	superfamily			superfamily				
WD:Q21446603	infraspecies			infraspecies				
WD:Q22666877	superdomain			superdomain				
WD:Q227936	tribe			tribe				
WD:Q2361851	infraphylum			infraphylum				
WD:Q23759835	infradivision			infradivision				
WD:Q2455704	subfamily			subfamily				
WD:Q2752679	subkingdom			subkingdom				
WD:Q279749	form			form				
WD:Q2889003	infraorder			infraorder				
WD:Q2981883	cohort			cohort				
WD:Q3025161	series			series				
WD:Q3150876	infrakingdom			infrakingdom				
WD:Q3181348	section			section				
WD:Q3238261	subgenus			subgenus				
WD:Q34740	genus			genus				
WD:Q34740	genus		soort @nl | genus @en	genus	WD:Q34740		https://www.wikidata.org/wiki/Q34740	
WD:Q3504061	superclass			superclass				
WD:Q35409	family			family				
WD:Q36602	order			order				
WD:Q36732	kingdom			kingdom				
WD:Q37517	class			class				
WD:Q3825509	forma specialis			forma specialis				
WD:Q38348	phylum			phylum				
WD:Q3965313	subtribe			subtribe				
WD:Q3978005	superphylum			superphylum				
WD:Q4886	cultivar			cultivar				
WD:Q5481039	infrafamily			infrafamily				
WD:Q5867051	subclass			subclass				
WD:Q5867959	suborder			suborder				
WD:Q5868144	superorder			superorder				
WD:Q6054237	magnorder			magnorder				
WD:Q6054425	supercohort			supercohort				
WD:Q6054535	infralegion			infralegion				
WD:Q6054637	sublegion			sublegion				
WD:Q6054795	superlegion			superlegion				
WD:Q630771	subvariety			subvariety				
WD:Q6311258	parvorder			parvorder				
WD:Q6462265	grandorder			grandorder				
WD:Q6541077	subcohort			subcohort				
WD:Q68947	subspecies			subspecies				
WD:Q7432	species			species				
WD:Q7504331	legion			legion				
WD:Q7506274	mirorder			mirorder				
WD:Q767728	variety			variety				
